# t theta omega l v E_kin E_pot E_elastic E_tot
0.00000 0.15000 0.10000 1.10000 0.00000 0.00605 0.12117 0.05000 0.17722
0.01000 0.15093 0.08656 1.10044 0.08707 0.00833 0.12273 0.05044 0.18149
0.02000 0.15173 0.07294 1.10174 0.17402 0.01837 0.12417 0.05176 0.19430
0.03000 0.15239 0.05920 1.10392 0.26076 0.03613 0.12550 0.05399 0.21563
0.04000 0.15291 0.04542 1.10696 0.34721 0.06154 0.12671 0.05720 0.24545
0.05000 0.15330 0.03166 1.11086 0.43330 0.09449 0.12780 0.06145 0.28374
0.06000 0.15355 0.01798 1.11562 0.51894 0.13485 0.12876 0.06684 0.33045
0.07000 0.15366 0.00445 1.12124 0.60405 0.18245 0.12960 0.07349 0.38554
0.08000 0.15364 -0.00888 1.12770 0.68855 0.23710 0.13031 0.08153 0.44895
0.09000 0.15348 -0.02194 1.13500 0.77237 0.29859 0.13089 0.09113 0.52061
0.10000 0.15320 -0.03469 1.14314 0.85543 0.36667 0.13134 0.10245 0.60046
0.11000 0.15279 -0.04708 1.15211 0.93765 0.44106 0.13167 0.11569 0.68842
0.12000 0.15226 -0.05907 1.16189 1.01895 0.52148 0.13187 0.13105 0.78440
0.13000 0.15161 -0.07061 1.17249 1.09925 0.60761 0.13194 0.14876 0.88830
0.14000 0.15085 -0.08168 1.18388 1.17849 0.69910 0.13189 0.16905 1.00004
0.15000 0.14998 -0.09225 1.19605 1.25658 0.79559 0.13171 0.19218 1.11949
0.16000 0.14901 -0.10231 1.20900 1.33346 0.89671 0.13142 0.21841 1.24654
0.17000 0.14793 -0.11183 1.22272 1.40904 1.00204 0.13101 0.24801 1.38107
0.18000 0.14677 -0.12080 1.23718 1.48325 1.11119 0.13049 0.28127 1.52295
0.19000 0.14552 -0.12923 1.25238 1.55603 1.22371 0.12985 0.31847 1.67204
0.20000 0.14419 -0.13710 1.26829 1.62730 1.33917 0.12911 0.35991 1.82819
0.21000 0.14278 -0.14442 1.28492 1.69699 1.45710 0.12827 0.40589 1.99126
0.22000 0.14130 -0.15120 1.30223 1.76503 1.57705 0.12732 0.45671 2.16109
0.23000 0.13976 -0.15744 1.32021 1.83136 1.69855 0.12628 0.51268 2.33750
0.24000 0.13815 -0.16317 1.33885 1.89591 1.82110 0.12514 0.57410 2.52034
0.25000 0.13650 -0.16839 1.35812 1.95861 1.94423 0.12392 0.64127 2.70942
0.26000 0.13479 -0.17312 1.37802 2.01941 2.06746 0.12261 0.71448 2.90456
0.27000 0.13304 -0.17738 1.39851 2.07824 2.19030 0.12123 0.79403 3.10556
0.28000 0.13124 -0.18119 1.41957 2.13504 2.31227 0.11976 0.88021 3.31224
0.29000 0.12941 -0.18457 1.44120 2.18975 2.43288 0.11823 0.97329 3.52439
0.30000 0.12755 -0.18755 1.46336 2.24232 2.55166 0.11662 1.07352 3.74180
0.31000 0.12566 -0.19014 1.48604 2.29269 2.66814 0.11495 1.18117 3.96426
0.32000 0.12375 -0.19237 1.50921 2.34082 2.78187 0.11322 1.29646 4.19155
0.33000 0.12182 -0.19426 1.53285 2.38665 2.89239 0.11143 1.41963 4.42346
0.34000 0.11987 -0.19583 1.55693 2.43014 2.99927 0.10959 1.55087 4.65974
0.35000 0.11790 -0.19711 1.58144 2.47124 3.10209 0.10770 1.69038 4.90017
0.36000 0.11593 -0.19811 1.60635 2.50990 3.20045 0.10577 1.83830 5.14452
0.37000 0.11394 -0.19886 1.63163 2.54610 3.29395 0.10379 1.99480 5.39253
0.38000 0.11195 -0.19938 1.65726 2.57978 3.38223 0.10177 2.15998 5.64398
0.39000 0.10995 -0.19968 1.68322 2.61092 3.46495 0.09971 2.33394 5.89860
0.40000 0.10796 -0.19979 1.70947 2.63949 3.54177 0.09763 2.51676 6.15616
0.41000 0.10596 -0.19971 1.73600 2.66544 3.61239 0.09551 2.70848 6.41639
0.42000 0.10396 -0.19948 1.76277 2.68876 3.67655 0.09337 2.90912 6.67903
0.43000 0.10197 -0.19910 1.78977 2.70942 3.73398 0.09120 3.11866 6.94383
0.44000 0.09998 -0.19859 1.81695 2.72740 3.78446 0.08901 3.33706 7.21053
0.45000 0.09800 -0.19796 1.84431 2.74268 3.82779 0.08681 3.56426 7.47886
0.46000 0.09602 -0.19722 1.87180 2.75524 3.86381 0.08459 3.80016 7.74856
0.47000 0.09405 -0.19640 1.89940 2.76507 3.89238 0.08235 4.04462 8.01935
0.48000 0.09209 -0.19549 1.92709 2.77215 3.91338 0.08011 4.29748 8.29097
0.49000 0.09014 -0.19452 1.95484 2.77649 3.92674 0.07786 4.55855 8.56316
0.50000 0.08820 -0.19348 1.98261 2.77807 3.93240 0.07561 4.82762 8.83563
0.51000 0.08627 -0.19239 2.01039 2.77689 3.93036 0.07335 5.10442 9.10812
0.52000 0.08436 -0.19126 2.03814 2.77295 3.92061 0.07110 5.38866 9.38037
0.53000 0.08245 -0.19010 2.06584 2.76626 3.90320 0.06884 5.68005 9.65209
0.54000 0.08055 -0.18890 2.09346 2.75681 3.87820 0.06660 5.97822 9.92302
0.55000 0.07867 -0.18769 2.12096 2.74463 3.84572 0.06435 6.28281 10.19288
0.56000 0.07680 -0.18646 2.14834 2.72971 3.80589 0.06212 6.59341 10.46142
0.57000 0.07494 -0.18522 2.17555 2.71208 3.75887 0.05990 6.90959 10.72836
0.58000 0.07310 -0.18398 2.20257 2.69175 3.70486 0.05770 7.23089 10.99344
0.59000 0.07126 -0.18273 2.22938 2.66874 3.64406 0.05551 7.55682 11.25640
0.60000 0.06944 -0.18150 2.25594 2.64307 3.57674 0.05334 7.88689 11.51696
0.61000 0.06763 -0.18026 2.28223 2.61477 3.50315 0.05119 8.22055 11.77488
0.62000 0.06584 -0.17905 2.30822 2.58387 3.42359 0.04906 8.55725 12.02990
0.63000 0.06405 -0.17784 2.33390 2.55039 3.33839 0.04695 8.89641 12.28175
0.64000 0.06228 -0.17665 2.35922 2.51438 3.24789 0.04487 9.23744 12.53020
0.65000 0.06052 -0.17549 2.38418 2.47585 3.15245 0.04282 9.57972 12.77499
0.66000 0.05877 -0.17434 2.40873 2.43486 3.05246 0.04079 9.92263 13.01588
0.67000 0.05703 -0.17322 2.43287 2.39145 2.94831 0.03880 10.26552 13.25263
0.68000 0.05530 -0.17213 2.45655 2.34565 2.84043 0.03685 10.60773 13.48501
0.69000 0.05359 -0.17106 2.47977 2.29751 2.72924 0.03492 10.94861 13.71277
0.70000 0.05188 -0.17003 2.50250 2.24708 2.61520 0.03304 11.28747 13.93570
0.71000 0.05019 -0.16902 2.52470 2.19441 2.49876 0.03119 11.62362 14.15358
0.72000 0.04850 -0.16805 2.54638 2.13955 2.38040 0.02938 11.95640 14.36617
0.73000 0.04683 -0.16711 2.56749 2.08256 2.26057 0.02761 12.28511 14.57329
0.74000 0.04516 -0.16621 2.58802 2.02349 2.13977 0.02589 12.60905 14.77470
0.75000 0.04350 -0.16534 2.60795 1.96241 2.01848 0.02421 12.92755 14.97023
0.76000 0.04185 -0.16450 2.62726 1.89936 1.89718 0.02257 13.23991 15.15966
0.77000 0.04021 -0.16370 2.64593 1.83442 1.77636 0.02098 13.54547 15.34282
0.78000 0.03858 -0.16294 2.66394 1.76766 1.65651 0.01945 13.84356 15.51952
0.79000 0.03695 -0.16222 2.68128 1.69913 1.53811 0.01796 14.13351 15.68958
0.80000 0.03534 -0.16153 2.69792 1.62890 1.42162 0.01652 14.41469 15.85283
0.81000 0.03372 -0.16089 2.71385 1.55705 1.30752 0.01514 14.68645 16.00912
0.82000 0.03212 -0.16028 2.72906 1.48365 1.19627 0.01381 14.94820 16.15827
0.83000 0.03052 -0.15971 2.74352 1.40876 1.08831 0.01253 15.19932 16.30016
0.84000 0.02892 -0.15918 2.75723 1.33248 0.98406 0.01131 15.43925 16.43463
0.85000 0.02733 -0.15869 2.77017 1.25486 0.88396 0.01015 15.66743 16.56155
0.86000 0.02575 -0.15824 2.78232 1.17599 0.78840 0.00905 15.88334 16.68079
0.87000 0.02417 -0.15783 2.79368 1.09595 0.69776 0.00800 16.08647 16.79224
0.88000 0.02259 -0.15746 2.80424 1.01482 0.61241 0.00702 16.27635 16.89578
0.89000 0.02102 -0.15713 2.81397 0.93267 0.53269 0.00610 16.45252 16.99131
0.90000 0.01945 -0.15684 2.82289 0.84960 0.45892 0.00524 16.61458 17.07874
0.91000 0.01788 -0.15660 2.83096 0.76567 0.39139 0.00444 16.76214 17.15798
0.92000 0.01632 -0.15639 2.83820 0.68099 0.33038 0.00371 16.89485 17.22894
0.93000 0.01475 -0.15622 2.84458 0.59562 0.27613 0.00304 17.01240 17.29156
0.94000 0.01319 -0.15610 2.85011 0.50967 0.22885 0.00243 17.11450 17.34578
0.95000 0.01163 -0.15602 2.85477 0.42320 0.18874 0.00189 17.20091 17.39154
0.96000 0.01007 -0.15597 2.85857 0.33632 0.15595 0.00142 17.27143 17.42880
