# t theta omega l v E_kin E_pot E_elastic E_tot
0.00000 0.50000 0.10000 1.30000 0.00000 0.00845 1.56119 0.45000 2.01964
0.01000 0.50082 0.06376 1.30028 0.05615 0.00501 1.56654 0.45084 2.02239
0.02000 0.50128 0.02747 1.30112 0.11215 0.00693 1.57035 0.45337 2.03065
0.03000 0.50137 -0.00876 1.30252 0.16800 0.01418 1.57261 0.45760 2.04439
0.04000 0.50110 -0.04484 1.30448 0.22370 0.02673 1.57333 0.46355 2.06361
0.05000 0.50047 -0.08067 1.30700 0.27924 0.04455 1.57250 0.47124 2.08828
0.06000 0.49949 -0.11615 1.31007 0.33461 0.06756 1.57013 0.48071 2.11839
0.07000 0.49815 -0.15119 1.31369 0.38980 0.09570 1.56622 0.49200 2.15392
0.08000 0.49647 -0.18569 1.31786 0.44482 0.12888 1.56081 0.50518 2.19486
0.09000 0.49444 -0.21957 1.32258 0.49965 0.16699 1.55390 0.52030 2.24119
0.10000 0.49208 -0.25274 1.32785 0.55428 0.20993 1.54552 0.53744 2.29289
0.11000 0.48939 -0.28513 1.33367 0.60869 0.25756 1.53570 0.55668 2.34993
0.12000 0.48638 -0.31667 1.34003 0.66288 0.30974 1.52448 0.57809 2.41231
0.13000 0.48306 -0.34728 1.34693 0.71682 0.36631 1.51188 0.60179 2.47998
0.14000 0.47943 -0.37692 1.35436 0.77049 0.42712 1.49795 0.62786 2.55294
0.15000 0.47552 -0.40551 1.36233 0.82386 0.49197 1.48274 0.65643 2.63114
0.16000 0.47133 -0.43302 1.37084 0.87692 0.56068 1.46628 0.68761 2.71457
0.17000 0.46687 -0.45941 1.37987 0.92963 0.63304 1.44863 0.72151 2.80318
0.18000 0.46214 -0.48463 1.38943 0.98196 0.70883 1.42984 0.75828 2.89695
0.19000 0.45718 -0.50866 1.39951 1.03388 0.78783 1.40996 0.79804 2.99583
0.20000 0.45197 -0.53147 1.41011 1.08534 0.86981 1.38904 0.84094 3.09978
0.21000 0.44655 -0.55306 1.42121 1.13631 0.95451 1.36714 0.88711 3.20876
0.22000 0.44092 -0.57340 1.43283 1.18674 1.04168 1.34432 0.93671 3.32271
0.23000 0.43509 -0.59250 1.44495 1.23658 1.13105 1.32063 0.98989 3.44158
0.24000 0.42907 -0.61035 1.45756 1.28580 1.22236 1.29614 1.04681 3.56531
0.25000 0.42288 -0.62697 1.47066 1.33433 1.31531 1.27091 1.10761 3.69383
0.26000 0.41654 -0.64235 1.48424 1.38213 1.40963 1.24498 1.17246 3.82708
0.27000 0.41004 -0.65653 1.49830 1.42914 1.50503 1.21843 1.24152 3.96498
