# t theta omega l v E_kin E_pot E_elastic E_tot
0.00000 1.00000 0.10000 1.50000 0.00000 0.01125 6.76445 1.25000 8.02570
0.01000 1.00072 0.04495 1.50002 0.00305 0.00228 6.77350 1.25008 8.02585
0.02000 1.00090 -0.01011 1.50006 0.00599 0.00013 6.77586 1.25030 8.02630
0.03000 1.00052 -0.06516 1.50014 0.00895 0.00482 6.77153 1.25068 8.02703
0.04000 0.99960 -0.12018 1.50024 0.01206 0.01633 6.76053 1.25120 8.02806
0.05000 0.99812 -0.17513 1.50038 0.01545 0.03464 6.74287 1.25189 8.02940
0.06000 0.99609 -0.23000 1.50055 0.01926 0.05974 6.71861 1.25275 8.03110
0.07000 0.99352 -0.28475 1.50076 0.02362 0.09159 6.68778 1.25382 8.03320
0.08000 0.99040 -0.33936 1.50103 0.02866 0.13015 6.65048 1.25513 8.03576
0.09000 0.98673 -0.39379 1.50134 0.03450 0.17536 6.60678 1.25671 8.03885
0.10000 0.98252 -0.44800 1.50172 0.04128 0.22717 6.55679 1.25861 8.04256
0.11000 0.97777 -0.50197 1.50217 0.04911 0.28550 6.50062 1.26087 8.04698
0.12000 0.97249 -0.55564 1.50270 0.05810 0.35027 6.43840 1.26356 8.05223
0.13000 0.96666 -0.60898 1.50334 0.06839 0.42141 6.37028 1.26673 8.05843
0.14000 0.96031 -0.66193 1.50408 0.08007 0.49880 6.29642 1.27047 8.06570
0.15000 0.95343 -0.71443 1.50494 0.09326 0.58236 6.21700 1.27483 8.07418
0.16000 0.94602 -0.76644 1.50595 0.10806 0.67195 6.13218 1.27991 8.08405
0.17000 0.93810 -0.81788 1.50711 0.12456 0.76746 6.04219 1.28580 8.09544
0.18000 0.92966 -0.86870 1.50844 0.14285 0.86875 5.94721 1.29258 8.10854
0.19000 0.92073 -0.91881 1.50997 0.16301 0.97569 5.84748 1.30036 8.12353
0.20000 0.91129 -0.96814 1.51171 0.18512 1.08812 5.74323 1.30924 8.14059
0.21000 0.90137 -1.01661 1.51368 0.20924 1.20587 5.63470 1.31934 8.15992
0.22000 0.89096 -1.06413 1.51590 0.23544 1.32879 5.52214 1.33078 8.18171
0.23000 0.88009 -1.11062 1.51840 0.26375 1.45669 5.40581 1.34368 8.20618
0.24000 0.86875 -1.15598 1.52119 0.29422 1.58938 5.28598 1.35817 8.23353
0.25000 0.85697 -1.20012 1.52429 0.32688 1.72665 5.16293 1.37440 8.26398
0.26000 0.84476 -1.24295 1.52773 0.36174 1.86831 5.03693 1.39250 8.29774
0.27000 0.83212 -1.28435 1.53153 0.39880 2.01412 4.90827 1.41263 8.33502
0.28000 0.81907 -1.32425 1.53571 0.43806 2.16386 4.77725 1.43495 8.37605
0.29000 0.80564 -1.36254 1.54030 0.47949 2.31728 4.64415 1.45962 8.42104
0.30000 0.79183 -1.39913 1.54531 0.52307 2.47412 4.50926 1.48682 8.47020
0.31000 0.77766 -1.43392 1.55077 0.56875 2.63412 4.37289 1.51673 8.52374
0.32000 0.76316 -1.46683 1.55669 0.61647 2.79699 4.23533 1.54953 8.58185
0.33000 0.74833 -1.49778 1.56310 0.66616 2.96245 4.09687 1.58543 8.64475
0.34000 0.73321 -1.52668 1.57002 0.71773 3.13019 3.95780 1.62463 8.71262
0.35000 0.71780 -1.55347 1.57746 0.77109 3.29989 3.81842 1.66733 8.78563
0.36000 0.70215 -1.57809 1.58545 0.82613 3.47121 3.67899 1.71376 8.86396
0.37000 0.68625 -1.60049 1.59399 0.88272 3.64383 3.53980 1.76413 8.94777
0.38000 0.67014 -1.62062 1.60311 0.94073 3.81737 3.40112 1.81870 9.03720
0.39000 0.65385 -1.63846 1.61281 1.00002 3.99148 3.26321 1.87769 9.13238
0.40000 0.63738 -1.65397 1.62311 1.06044 4.16577 3.12632 1.94135 9.23344
0.41000 0.62077 -1.66716 1.63402 1.12183 4.33985 2.99070 2.00993 9.34047
0.42000 0.60405 -1.67803 1.64555 1.18401 4.51331 2.85657 2.08369 9.45357
0.43000 0.58722 -1.68660 1.65771 1.24681 4.68574 2.72417 2.16288 9.57279
0.44000 0.57032 -1.69288 1.67049 1.31005 4.85673 2.59369 2.24778 9.69821
0.45000 0.55337 -1.69692 1.68391 1.37354 5.02584 2.46535 2.33865 9.82983
0.46000 0.53639 -1.69877 1.69796 1.43710 5.19262 2.33933 2.43575 9.96770
0.47000 0.51940 -1.69848 1.71265 1.50053 5.35665 2.21580 2.53934 10.11179
0.48000 0.50243 -1.69613 1.72797 1.56365 5.51747 2.09492 2.64970 10.26209
0.49000 0.48549 -1.69179 1.74392 1.62625 5.67463 1.97685 2.76709 10.41856
0.50000 0.46860 -1.68555 1.76049 1.68816 5.82767 1.86172 2.89175 10.58114
0.51000 0.45178 -1.67750 1.77768 1.74917 5.97617 1.74965 3.02393 10.74975
0.52000 0.43505 -1.66774 1.79547 1.80912 6.11965 1.64075 3.16389 10.92429
0.53000 0.41843 -1.65638 1.81386 1.86782 6.25769 1.53514 3.31183 11.10466
0.54000 0.40193 -1.64351 1.83282 1.92510 6.38985 1.43288 3.46798 11.29071
0.55000 0.38557 -1.62924 1.85236 1.98078 6.51570 1.33406 3.63255 11.48231
0.56000 0.36935 -1.61369 1.87243 2.03471 6.63483 1.23874 3.80571 11.67928
0.57000 0.35330 -1.59696 1.89304 2.08673 6.74684 1.14698 3.98763 11.88146
0.58000 0.33742 -1.57917 1.91416 2.13669 6.85135 1.05882 4.17846 12.08863
0.59000 0.32172 -1.56042 1.93577 2.18446 6.94798 0.97429 4.37832 12.30060
0.60000 0.30621 -1.54082 1.95784 2.22990 7.03640 0.89343 4.58732 12.51715
0.61000 0.29090 -1.52047 1.98036 2.27288 7.11627 0.81623 4.80552 12.73803
0.62000 0.27580 -1.49946 2.00329 2.31331 7.18730 0.74272 5.03298 12.96300
0.63000 0.26092 -1.47791 2.02662 2.35106 7.24921 0.67289 5.26971 13.19181
0.64000 0.24625 -1.45589 2.05030 2.38604 7.30176 0.60674 5.51570 13.42419
0.65000 0.23180 -1.43349 2.07433 2.41817 7.34471 0.54424 5.77090 13.65986
0.66000 0.21758 -1.41080 2.09866 2.44736 7.37790 0.48539 6.03525 13.89854
0.67000 0.20358 -1.38789 2.12327 2.47353 7.40115 0.43016 6.30862 14.13993
0.68000 0.18982 -1.36483 2.14812 2.49663 7.41435 0.37851 6.59088 14.38374
