# t theta omega E_kin E_pot E_tot
0.00000 0.78540 0.10000 0.00500 2.87328 2.87828
0.01000 0.78610 0.04053 0.00082 2.87816 2.87898
0.02000 0.78621 -0.01890 0.00018 2.87891 2.87909
0.03000 0.78572 -0.07827 0.00306 2.87554 2.87860
0.04000 0.78464 -0.13753 0.00946 2.86805 2.87751
0.05000 0.78297 -0.19665 0.01934 2.85648 2.87581
0.06000 0.78071 -0.25558 0.03266 2.84085 2.87351
0.07000 0.77786 -0.31429 0.04939 2.82120 2.87059
0.08000 0.77443 -0.37273 0.06947 2.79760 2.86706
0.09000 0.77041 -0.43088 0.09283 2.77009 2.86291
0.10000 0.76581 -0.48868 0.11940 2.73875 2.85815
0.11000 0.76064 -0.54610 0.14911 2.70366 2.85277
0.12000 0.75489 -0.60310 0.18187 2.66491 2.84678
0.13000 0.74858 -0.65964 0.21756 2.62261 2.84018
0.14000 0.74170 -0.71568 0.25610 2.57687 2.83297
0.15000 0.73426 -0.77118 0.29736 2.52780 2.82516
0.16000 0.72628 -0.82609 0.34121 2.47553 2.81675
0.17000 0.71774 -0.88038 0.38753 2.42021 2.80775
0.18000 0.70867 -0.93400 0.43618 2.36198 2.79816
0.19000 0.69907 -0.98691 0.48700 2.30100 2.78800
0.20000 0.68894 -1.03908 0.53984 2.23743 2.77727
0.21000 0.67829 -1.09044 0.59453 2.17146 2.76599
0.22000 0.66713 -1.14097 0.65091 2.10326 2.75416
0.23000 0.65547 -1.19062 0.70879 2.03301 2.74180
0.24000 0.64332 -1.23935 0.76799 1.96094 2.72892
0.25000 0.63069 -1.28710 0.82831 1.88722 2.71554
0.26000 0.61758 -1.33385 0.88957 1.81209 2.70166
0.27000 0.60401 -1.37953 0.95156 1.73576 2.68731
0.28000 0.58999 -1.42412 1.01406 1.65844 2.67250
0.29000 0.57554 -1.46757 1.07687 1.58038 2.65725
0.30000 0.56065 -1.50982 1.13978 1.50180 2.64158
0.31000 0.54534 -1.55085 1.20257 1.42295 2.62551
0.32000 0.52963 -1.59060 1.26501 1.34405 2.60906
0.33000 0.51354 -1.62904 1.32688 1.26536 2.59224
0.34000 0.49706 -1.66612 1.38797 1.18712 2.57509
