# t theta omega E_kin E_pot E_tot
0.00000 0.78540 0.10000 0.00500 2.87328 2.87828
0.01000 0.78610 0.04053 0.00082 2.87816 2.87898
0.02000 0.78621 -0.01895 0.00018 2.87891 2.87909
0.03000 0.78572 -0.07842 0.00308 2.87553 2.87860
0.04000 0.78464 -0.13789 0.00951 2.86803 2.87753
0.05000 0.78296 -0.19735 0.01947 2.85642 2.87589
0.06000 0.78069 -0.25678 0.03297 2.84072 2.87369
0.07000 0.77783 -0.31619 0.04999 2.82097 2.87096
0.08000 0.77437 -0.37557 0.07052 2.79720 2.86773
0.09000 0.77032 -0.43489 0.09457 2.76946 2.86403
0.10000 0.76567 -0.49416 0.12210 2.73781 2.85991
0.11000 0.76043 -0.55337 0.15311 2.70229 2.85540
0.12000 0.75461 -0.61248 0.18757 2.66300 2.85057
0.13000 0.74819 -0.67150 0.22545 2.62001 2.84546
0.14000 0.74118 -0.73039 0.26673 2.57340 2.84014
0.15000 0.73358 -0.78914 0.31137 2.52329 2.83466
0.16000 0.72539 -0.84773 0.35933 2.46978 2.82910
0.17000 0.71662 -0.90613 0.41054 2.41299 2.82353
0.18000 0.70727 -0.96432 0.46495 2.35305 2.81800
0.19000 0.69734 -1.02225 0.52250 2.29010 2.81260
0.20000 0.68683 -1.07990 0.58310 2.22430 2.80740
0.21000 0.67574 -1.13724 0.64666 2.15581 2.80247
0.22000 0.66408 -1.19422 0.71308 2.08480 2.79788
0.23000 0.65186 -1.25080 0.78225 2.01146 2.79371
0.24000 0.63907 -1.30694 0.85404 1.93599 2.79003
0.25000 0.62572 -1.36258 0.92832 1.85859 2.78691
0.26000 0.61182 -1.41769 1.00492 1.77949 2.78441
0.27000 0.59737 -1.47220 1.08369 1.69891 2.78260
0.28000 0.58238 -1.52607 1.16444 1.61711 2.78154
0.29000 0.56685 -1.57922 1.24697 1.53432 2.78129
0.30000 0.55080 -1.63161 1.33108 1.45082 2.78189
0.31000 0.53422 -1.68317 1.41652 1.36687 2.78339
0.32000 0.51714 -1.73382 1.50307 1.28276 2.78584
0.33000 0.49955 -1.78352 1.59047 1.19879 2.78926
0.34000 0.48147 -1.83218 1.67844 1.11524 2.79368
