# t theta omega E_kin E_pot E_tot
0.00000 0.78540 0.10000 0.00500 2.87328 2.87828
0.01000 0.78610 0.04053 0.00082 2.87816 2.87898
0.02000 0.78621 -0.01890 0.00018 2.87891 2.87909
0.03000 0.78572 -0.07827 0.00306 2.87554 2.87860
0.04000 0.78464 -0.13752 0.00946 2.86805 2.87751
0.05000 0.78297 -0.19662 0.01933 2.85648 2.87581
0.06000 0.78071 -0.25553 0.03265 2.84085 2.87350
0.07000 0.77786 -0.31422 0.04937 2.82121 2.87058
0.08000 0.77443 -0.37263 0.06943 2.79761 2.86704
0.09000 0.77041 -0.43073 0.09276 2.77011 2.86287
0.10000 0.76582 -0.48847 0.11930 2.73878 2.85808
0.11000 0.76064 -0.54583 0.14896 2.70371 2.85267
0.12000 0.75490 -0.60275 0.18165 2.66499 2.84664
0.13000 0.74859 -0.65919 0.21727 2.62271 2.83998
0.14000 0.74172 -0.71512 0.25570 2.57700 2.83270
0.15000 0.73429 -0.77049 0.29682 2.52797 2.82479
0.16000 0.72631 -0.82525 0.34052 2.47575 2.81627
0.17000 0.71779 -0.87938 0.38665 2.42049 2.80714
0.18000 0.70873 -0.93281 0.43507 2.36233 2.79739
0.19000 0.69913 -0.98552 0.48562 2.30142 2.78705
0.20000 0.68902 -1.03745 0.53815 2.23795 2.77610
0.21000 0.67839 -1.08857 0.59249 2.17207 2.76456
0.22000 0.66725 -1.13882 0.64846 2.10398 2.75244
0.23000 0.65561 -1.18817 0.70588 2.03387 2.73974
0.24000 0.64349 -1.23657 0.76455 1.96193 2.72648
0.25000 0.63089 -1.28397 0.82430 1.88837 2.71267
0.26000 0.61781 -1.33034 0.88490 1.81340 2.69831
0.27000 0.60428 -1.37562 0.94617 1.73725 2.68342
0.28000 0.59030 -1.41977 1.00788 1.66013 2.66801
0.29000 0.57589 -1.46275 1.06982 1.58228 2.65210
0.30000 0.56105 -1.50452 1.13178 1.50392 2.63570
0.31000 0.54580 -1.54502 1.19354 1.42529 2.61883
0.32000 0.53016 -1.58421 1.25487 1.34664 2.60151
0.33000 0.51412 -1.62206 1.31554 1.26820 2.58374
0.34000 0.49772 -1.65852 1.37534 1.19022 2.56556
