# t theta omega E_kin E_pot E_tot
0.00000 0.78540 0.10000 0.00500 2.87328 2.87828
0.01000 0.78610 0.04053 0.00082 2.87816 2.87898
0.02000 0.78621 -0.01891 0.00018 2.87891 2.87909
0.03000 0.78572 -0.07830 0.00307 2.87553 2.87860
0.04000 0.78464 -0.13761 0.00947 2.86805 2.87752
0.05000 0.78297 -0.19680 0.01937 2.85647 2.87583
0.06000 0.78071 -0.25584 0.03273 2.84082 2.87355
0.07000 0.77785 -0.31471 0.04952 2.82115 2.87067
0.08000 0.77441 -0.37336 0.06970 2.79751 2.86721
0.09000 0.77039 -0.43176 0.09321 2.76995 2.86316
0.10000 0.76578 -0.48989 0.12000 2.73854 2.85854
0.11000 0.76059 -0.54771 0.14999 2.70336 2.85335
0.12000 0.75483 -0.60519 0.18313 2.66449 2.84762
0.13000 0.74849 -0.66229 0.21931 2.62204 2.84135
0.14000 0.74158 -0.71897 0.25846 2.57610 2.83456
0.15000 0.73411 -0.77521 0.30048 2.52680 2.82727
0.16000 0.72608 -0.83097 0.34526 2.47425 2.81951
0.17000 0.71749 -0.88622 0.39269 2.41859 2.81128
0.18000 0.70836 -0.94090 0.44265 2.35998 2.80263
0.19000 0.69868 -0.99500 0.49501 2.29854 2.79356
0.20000 0.68846 -1.04847 0.54964 2.23446 2.78411
0.21000 0.67771 -1.10127 0.60640 2.16791 2.77430
0.22000 0.66644 -1.15336 0.66512 2.09905 2.76417
0.23000 0.65465 -1.20471 0.72567 2.02808 2.75375
0.24000 0.64234 -1.25527 0.78786 1.95520 2.74306
0.25000 0.62954 -1.30501 0.85153 1.88061 2.73213
0.26000 0.61625 -1.35388 0.91650 1.80452 2.72101
0.27000 0.60247 -1.40184 0.98258 1.72715 2.70973
0.28000 0.58821 -1.44885 1.04958 1.64874 2.69832
0.29000 0.57349 -1.49487 1.11732 1.56950 2.68681
0.30000 0.55832 -1.53985 1.18557 1.48968 2.67525
0.31000 0.54270 -1.58376 1.25414 1.40953 2.66367
0.32000 0.52665 -1.62654 1.32282 1.32929 2.65211
0.33000 0.51017 -1.66817 1.39139 1.24921 2.64060
0.34000 0.49329 -1.70859 1.45963 1.16955 2.62918
