# t theta omega E_kin E_pot E_tot
0.00000 1.04720 0.30000 0.04500 4.90500 4.95000
0.01000 1.04977 0.21498 0.04500 4.90500 4.95000
0.02000 1.05150 0.12985 0.04500 4.90500 4.95000
0.03000 1.05237 0.04466 0.04500 4.90500 4.95000
0.04000 1.05239 -0.04056 0.04500 4.90500 4.95000
0.05000 1.05156 -0.12575 0.04500 4.90500 4.95000
0.06000 1.04987 -0.21088 0.04500 4.90500 4.95000
0.07000 1.04734 -0.29591 0.04500 4.90500 4.95000
0.08000 1.04396 -0.38080 0.04500 4.90500 4.95000
0.09000 1.03973 -0.46549 0.04500 4.90500 4.95000
0.10000 1.03465 -0.54996 0.04500 4.90500 4.95000
0.11000 1.02873 -0.63415 0.04500 4.90500 4.95000
0.12000 1.02197 -0.71802 0.04500 4.90500 4.95000
0.13000 1.01437 -0.80152 0.04500 4.90500 4.95000
0.14000 1.00594 -0.88460 0.04500 4.90500 4.95000
0.15000 0.99668 -0.96723 0.04500 4.90500 4.95000
0.16000 0.98659 -1.04933 0.04500 4.90500 4.95000
0.17000 0.97569 -1.13087 0.04500 4.90500 4.95000
0.18000 0.96398 -1.21178 0.04500 4.90500 4.95000
0.19000 0.95146 -1.29202 0.04500 4.90500 4.95000
0.20000 0.93814 -1.37152 0.04500 4.90500 4.95000
0.21000 0.92403 -1.45023 0.04500 4.90500 4.95000
0.22000 0.90914 -1.52808 0.04500 4.90500 4.95000
0.23000 0.89347 -1.60500 0.04500 4.90500 4.95000
0.24000 0.87704 -1.68094 0.04500 4.90500 4.95000
0.25000 0.85986 -1.75583 0.04500 4.90500 4.95000
0.26000 0.84193 -1.82959 0.04500 4.90500 4.95000
0.27000 0.82327 -1.90216 0.04500 4.90500 4.95000
0.28000 0.80389 -1.97345 0.04500 4.90500 4.95000
0.29000 0.78381 -2.04341 0.04500 4.90500 4.95000
0.30000 0.76303 -2.11194 0.04500 4.90500 4.95000
0.31000 0.74157 -2.17898 0.04500 4.90500 4.95000
0.32000 0.71945 -2.24444 0.04500 4.90500 4.95000
0.33000 0.69669 -2.30824 0.04500 4.90500 4.95000
0.34000 0.67329 -2.37031 0.04500 4.90500 4.95000
0.35000 0.64929 -2.43056 0.04500 4.90500 4.95000
0.36000 0.62469 -2.48891 0.04500 4.90500 4.95000
0.37000 0.59952 -2.54528 0.04500 4.90500 4.95000
0.38000 0.57379 -2.59959 0.04500 4.90500 4.95000
0.39000 0.54753 -2.65175 0.04500 4.90500 4.95000
0.40000 0.52076 -2.70170 0.04500 4.90500 4.95000
0.41000 0.49351 -2.74934 0.04500 4.90500 4.95000
0.42000 0.46578 -2.79462 0.04500 4.90500 4.95000
0.43000 0.43762 -2.83744 0.04500 4.90500 4.95000
0.44000 0.40904 -2.87774 0.04500 4.90500 4.95000
0.45000 0.38008 -2.91545 0.04500 4.90500 4.95000
0.46000 0.35074 -2.95051 0.04500 4.90500 4.95000
0.47000 0.32107 -2.98284 0.04500 4.90500 4.95000
0.48000 0.29110 -3.01241 0.04500 4.90500 4.95000
0.49000 0.26084 -3.03914 0.04500 4.90500 4.95000
0.50000 0.23032 -3.06299 0.04500 4.90500 4.95000
0.51000 0.19959 -3.08391 0.04500 4.90500 4.95000
0.52000 0.16865 -3.10187 0.04500 4.90500 4.95000
0.53000 0.13756 -3.11684 0.04500 4.90500 4.95000
0.54000 0.10633 -3.12877 0.04500 4.90500 4.95000
0.55000 0.07499 -3.13765 0.04500 4.90500 4.95000
0.56000 0.04358 -3.14346 0.04500 4.90500 4.95000
0.57000 0.01213 -3.14620 0.04500 4.90500 4.95000
0.58000 -0.01933 -3.14584 0.04500 4.90500 4.95000
0.59000 -0.05077 -3.14241 0.04500 4.90500 4.95000
0.60000 -0.08217 -3.13589 0.04500 4.90500 4.95000
0.61000 -0.11348 -3.12631 0.04500 4.90500 4.95000
0.62000 -0.14468 -3.11368 0.04500 4.90500 4.95000
0.63000 -0.17574 -3.09803 0.04500 4.90500 4.95000
0.64000 -0.20663 -3.07939 0.04500 4.90500 4.95000
0.65000 -0.23732 -3.05779 0.04500 4.90500 4.95000
0.66000 -0.26778 -3.03328 0.04500 4.90500 4.95000
0.67000 -0.29798 -3.00589 0.04500 4.90500 4.95000
0.68000 -0.32789 -2.97569 0.04500 4.90500 4.95000
0.69000 -0.35748 -2.94273 0.04500 4.90500 4.95000
0.70000 -0.38673 -2.90706 0.04500 4.90500 4.95000
0.71000 -0.41561 -2.86875 0.04500 4.90500 4.95000
0.72000 -0.44410 -2.82786 0.04500 4.90500 4.95000
0.73000 -0.47216 -2.78448 0.04500 4.90500 4.95000
0.74000 -0.49978 -2.73865 0.04500 4.90500 4.95000
0.75000 -0.52693 -2.69048 0.04500 4.90500 4.95000
0.76000 -0.55358 -2.64002 0.04500 4.90500 4.95000
0.77000 -0.57972 -2.58735 0.04500 4.90500 4.95000
0.78000 -0.60532 -2.53257 0.04500 4.90500 4.95000
0.79000 -0.63037 -2.47574 0.04500 4.90500 4.95000
0.80000 -0.65483 -2.41694 0.04500 4.90500 4.95000
0.81000 -0.67870 -2.35627 0.04500 4.90500 4.95000
0.82000 -0.70195 -2.29380 0.04500 4.90500 4.95000
0.83000 -0.72457 -2.22961 0.04500 4.90500 4.95000
0.84000 -0.74654 -2.16378 0.04500 4.90500 4.95000
0.85000 -0.76784 -2.09640 0.04500 4.90500 4.95000
0.86000 -0.78846 -2.02753 0.04500 4.90500 4.95000
0.87000 -0.80839 -1.95726 0.04500 4.90500 4.95000
0.88000 -0.82760 -1.88567 0.04500 4.90500 4.95000
0.89000 -0.84609 -1.81283 0.04500 4.90500 4.95000
0.90000 -0.86385 -1.73880 0.04500 4.90500 4.95000
0.91000 -0.88087 -1.66367 0.04500 4.90500 4.95000
0.92000 -0.89712 -1.58750 0.04500 4.90500 4.95000
0.93000 -0.91261 -1.51035 0.04500 4.90500 4.95000
0.94000 -0.92733 -1.43230 0.04500 4.90500 4.95000
0.95000 -0.94126 -1.35341 0.04500 4.90500 4.95000
0.96000 -0.95439 -1.27373 0.04500 4.90500 4.95000
0.97000 -0.96673 -1.19334 0.04500 4.90500 4.95000
0.98000 -0.97826 -1.11227 0.04500 4.90500 4.95000
0.99000 -0.98897 -1.03060 0.04500 4.90500 4.95000
1.00000 -0.99887 -0.94837 0.04500 4.90500 4.95000
1.01000 -1.00794 -0.86564 0.04500 4.90500 4.95000
1.02000 -1.01618 -0.78246 0.04500 4.90500 4.95000
1.03000 -1.02359 -0.69887 0.04500 4.90500 4.95000
1.04000 -1.03016 -0.61492 0.04500 4.90500 4.95000
1.05000 -1.03588 -0.53067 0.04500 4.90500 4.95000
1.06000 -1.04077 -0.44614 0.04500 4.90500 4.95000
1.07000 -1.04481 -0.36140 0.04500 4.90500 4.95000
1.08000 -1.04800 -0.27648 0.04500 4.90500 4.95000
1.09000 -1.05033 -0.19142 0.04500 4.90500 4.95000
1.10000 -1.05182 -0.10627 0.04500 4.90500 4.95000
1.11000 -1.05246 -0.02107 0.04500 4.90500 4.95000
1.12000 -1.05224 0.06414 0.04500 4.90500 4.95000
1.13000 -1.05118 0.14932 0.04500 4.90500 4.95000
1.14000 -1.04926 0.23443 0.04500 4.90500 4.95000
1.15000 -1.04649 0.31943 0.04500 4.90500 4.95000
1.16000 -1.04287 0.40426 0.04500 4.90500 4.95000
1.17000 -1.03840 0.48890 0.04500 4.90500 4.95000
1.18000 -1.03309 0.57329 0.04500 4.90500 4.95000
1.19000 -1.02694 0.65740 0.04500 4.90500 4.95000
1.20000 -1.01995 0.74117 0.04500 4.90500 4.95000
1.21000 -1.01212 0.82456 0.04500 4.90500 4.95000
1.22000 -1.00346 0.90752 0.04500 4.90500 4.95000
1.23000 -0.99397 0.99001 0.04500 4.90500 4.95000
1.24000 -0.98366 1.07196 0.04500 4.90500 4.95000
1.25000 -0.97253 1.15333 0.04500 4.90500 4.95000
1.26000 -0.96059 1.23406 0.04500 4.90500 4.95000
1.27000 -0.94785 1.31410 0.04500 4.90500 4.95000
1.28000 -0.93431 1.39339 0.04500 4.90500 4.95000
1.29000 -0.91999 1.47186 0.04500 4.90500 4.95000
1.30000 -0.90488 1.54946 0.04500 4.90500 4.95000
1.31000 -0.88900 1.62613 0.04500 4.90500 4.95000
1.32000 -0.87236 1.70178 0.04500 4.90500 4.95000
1.33000 -0.85497 1.77636 0.04500 4.90500 4.95000
1.34000 -0.83684 1.84980 0.04500 4.90500 4.95000
1.35000 -0.81798 1.92202 0.04500 4.90500 4.95000
1.36000 -0.79840 1.99295 0.04500 4.90500 4.95000
1.37000 -0.77812 2.06252 0.04500 4.90500 4.95000
1.38000 -0.75716 2.13065 0.04500 4.90500 4.95000
1.39000 -0.73551 2.19726 0.04500 4.90500 4.95000
1.40000 -0.71322 2.26227 0.04500 4.90500 4.95000
1.41000 -0.69028 2.32560 0.04500 4.90500 4.95000
1.42000 -0.66671 2.38717 0.04500 4.90500 4.95000
1.43000 -0.64254 2.44690 0.04500 4.90500 4.95000
1.44000 -0.61778 2.50471 0.04500 4.90500 4.95000
1.45000 -0.59245 2.56052 0.04500 4.90500 4.95000
1.46000 -0.56657 2.61424 0.04500 4.90500 4.95000
1.47000 -0.54017 2.66580 0.04500 4.90500 4.95000
1.48000 -0.51327 2.71512 0.04500 4.90500 4.95000
1.49000 -0.48588 2.76212 0.04500 4.90500 4.95000
1.50000 -0.45803 2.80672 0.04500 4.90500 4.95000
1.51000 -0.42975 2.84885 0.04500 4.90500 4.95000
1.52000 -0.40106 2.88844 0.04500 4.90500 4.95000
1.53000 -0.37199 2.92542 0.04500 4.90500 4.95000
1.54000 -0.34256 2.95973 0.04500 4.90500 4.95000
1.55000 -0.31281 2.99131 0.04500 4.90500 4.95000
